First name,Family name,Email,Reviews assigned,Reviews incomplete,Name prefix,Middle initial,Name suffix,Affil 1 Dept/School/Lab,Affil 1 Institution,Affil 1 City,Affil 1 State,Affil 1 Country,Affil 2 Dept/School/Lab,Affil 2 Institution,Affil 2 City,Affil 2 State,Affil 2 Country,Affil 3 Dept/School/Lab,Affil 3 Institution,Affil 3 City,Affil 3 State,Affil 3 Country,Affil 4 Dept/School/Lab,Affil 4 Institution,Affil 4 City,Affil 4 State,Affil 4 Country,Affil 5 Dept/School/Lab,Affil 5 Institution,Affil 5 City,Affil 5 State,Affil 5 Country,Affil 6 Dept/School/Lab,Affil 6 Institution,Affil 6 City,Affil 6 State,Affil 6 Country
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
Committee Member,Full Name,email@institution.org,1,0,,,,,Affiliation,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,
