" ","ACM No.","Contact No.","Title","Author","Email","DL Paper Type","Rights Granted","Third Party","Aux. Material","Video Recording","Artistic Images","Govt. Employees","Open Access","DOI","Authorizer","Statement","CC License","Non-ACM Copyright"
" ","1","pn1111","This Is the Title of the 1st Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111112} full strip notes","First Author Last Name 1:Affiliation;First Author Last Name 2:Affiliation;First Author Last Name 3:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111112","","rights statement"," "," "
" ","2","pn2222","This Is the Title of the 2nd Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111113} full strip notes","First Author Last Name 4:Affiliation;First Author Last Name 5:Affiliation;First Author Last Name 6:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111113","","rights statement"," "," "
" ","3","pn3333","This Is the Title of the 3rd Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111114} full strip notes","First Author Last Name 7:Affiliation;First Author Last Name 8:Affiliation;First Author Last Name 9:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111114","","rights statement"," "," "
" ","4","pn4444","This Is the Title of the 4th Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111115} full strip notes","First Author Last Name 10:Affiliation;First Author Last Name 11:Affiliation;First Author Last Name 12:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111115","","rights statement"," "," "
" ","4","pn5555","This Is the Title of the 5h Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111116} full strip notes","First Author Last Name 3:Affiliation;First Author Last Name 13:Affiliation;First Author Last Name 14:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111116","","rights statement"," "," "
" ","5","pn6666","This Is the Title of the 6th Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111117} full strip notes","First Author Last Name 15:Affiliation;First Author Last Name 16:Affiliation;First Author Last Name 17:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111117","","rights statement"," "," "
" ","6","pn7777","This Is the Title of the 7th Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111118} full strip notes","First Author Last Name 18:Affiliation;First Author Last Name 19:Affiliation;First Author Last Name 20:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111118","","rights statement"," "," "
" ","7","pn8888","This Is the Title of the 8th Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111119} full strip notes","First Author Last Name 20:Affiliation;First Author Last Name 21:Affiliation;First Author Last Name 22:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111119","","rights statement"," "," "
" ","8","lbw1111","This Is the Title of the 1st Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111120} full strip notes","First Author Last Name 30:Affiliation;First Author Last Name 31:Affiliation;First Author Last Name 32:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111120","","rights statement"," "," "
" ","9","lbw2222","This Is the Title of the 2nd Paper \setcopyright{rightsretained} \acmConference[TP '23]{{Proceedings of the 2023 Template Conference on Templents}{April 23--28, 2023}{Hamburg, Germany}\acmBooktitle{Proceedings of the 2023 Template Conference on Templents (TP '23), April 23--28, 2023, Hamburg, Germany}\acmDOI{10.1145/1111111.1111121} full strip notes","First Author Last Name 33:Affiliation;First Author Last Name 34:Affiliation;First Author Last Name 35:Affiliation","email@institution.org permission release form URL: http://cms.acm.org/forms/prform.cfm?confID=00000000000000000000&proceedingID=0000000000&paperID=01&sequence=1","research-article","full paper pdf 01-Dec-2022 permissionRelease","NONE"," ","AV 1:YES AV 2:YES"," "," "," ","https://doi.org/10.1145/1111111.1111121","","rights statement"," "," "
